CATEGORIES,Orders,Order Quantity,Sales Total,Cost Total,Shipping Total,Discounts Total,Refunds Total,Invoice Total,Profit Total,Bollards Per Order,AOV,Sales AOV,Profit Per Order,Refund %,Avg Shipping,Avg Discount %
Crash Rated Bollards,13.5,130,"$128,936.18","$97,060.31","$7,680.54","$1,922.80",$0.00,"$134,693.92","$29,953.07",9.6,"$9,977.33","$9,550.83","$2,218.75",0.00%,$568.93,1.49%
Fixed Bollards,39.3,402,"$167,958.01","$122,116.95","$16,915.41","$5,776.00","-$2,451.72","$176,713.58","$37,613.34",10.2,"$4,496.53","$4,273.74",$957.08,-1.46%,$430.42,3.44%
Removable Bollards,320.1,"1,526","$918,839.07","$627,872.03","$105,976.37","$24,131.14","-$5,085.83","$995,657.12","$261,750.07",4.8,"$3,110.46","$2,870.48",$817.71,-0.55%,$331.07,2.63%
Retractable Bollards,74.6,409,"$328,841.35","$209,605.53","$26,591.90","$22,442.06","-$1,963.40","$331,027.79","$94,830.36",5.5,"$4,437.37","$4,408.06","$1,271.18",-0.60%,$356.46,6.82%
