Product Name,S4 SKU,Quantity Sold (9 Months),S4 MSRP,1800 CPU,ZASP CPU,S4 Actual Sales Total,S4 Actual MSRP,1800 Cost Total,ZASP Cost Total,S4 Profit w 1800 CPU,S4 Profit w ZASP CPU,S4 Margin w 1800 CPU,S4 Margin w ZASP CPU,ZASP Extra Profit
"4"" STAINLESS STEEL REMOVABLE",RPSS4040+ESV40,68.0,595.0,474.51,187.3,40258.8,592.0411764705883,32266.68,12736.400000000001,7992.120000000003,27522.4,0.19851858475662468,0.6836368694546285,19530.28
"6"" STAINLESS STEEL REMOVABLE",RPSS6040+ESV60,28.0,897.0,670.51,257.14,25116.0,897.0,18774.28,7199.92,6341.720000000001,17916.08,0.25249721293199556,0.7133333333333334,11574.36
"4"" CARBON STEEL REMOVABLE",RPCS4040+ESV40,24.0,475.0,290.51,108.0,10269.0,427.875,6972.24,2592.0,3296.76,7677.0,0.3210400233713117,0.747589833479404,4380.24
"6"" CARBON STEEL REMOVABLE",RPCS6040+ESV60,63.0,560.0,420.52,125.0,36724.0,582.9206349206349,26492.76,7875.0,10231.240000000002,28849.0,0.27859819191809176,0.7855625748829104,18617.76
"4"" CARBON STEEL RETRACTABLE",MRCS4040-Y,87.0,935.0,550.25,222.22,61814.0,710.5057471264367,47871.75,19333.14,13942.25,42480.86,0.22555165496489468,0.6872368719060407,28538.61
"4"" STAINLESS STEEL RETRACTABLE",MRSS4040,57.0,1400.0,1025.26,274.6,63226.0,1109.2280701754387,58439.82,15652.2,4786.18,47573.8,0.07569955398095721,0.752440451712903,42787.62
"4"" BASEPLATE CARBON STEEL - 36""",BCSV404036,4.0,184.95,84.26,65.0,797.0,199.25,337.04,260.0,459.96,537.0,0.5771141781681305,0.6737766624843162,77.04000000000002
"6"" BASEPLATE CARBON STEEL - 36""",BCSV604036,90.0,260.25,164.26,100.0,47239.7,524.8855555555555,14783.4,9000.0,32456.299999999996,38239.7,0.6870555909542185,0.8094822786766216,5783.4000000000015
"4"" BASEPLATE STAINLESS STEEL - 36""",BSSV404036,0.0,350.25,283.26,169.84,0.0,,0.0,0.0,0.0,0.0,,,0.0
"6"" BASEPLATE STAINLESS STEEL - 36""",BSSV604036,0.0,599.25,552.26,204.76,0.0,,0.0,0.0,0.0,0.0,,,0.0
TOTAL,,421.0,625.67,451.5600000000001,171.38600000000002,285444.5,630.4632730310817,205937.97,74648.66,79506.53,210795.84000000003,0.27853586248815443,0.738482752338896,131289.31
Monthly,,46.77777777777778,625.67,451.5600000000001,171.38600000000002,31716.055555555555,630.4632730310817,22881.996666666666,8294.295555555556,8834.058888888889,23421.760000000002,0.27853586248815443,0.738482752338896,14587.701111111111
