SKU,PRODUCT NAME,VENDOR,COST,PRICE,PROFIT,MARGIN,PRODUCT CATEGORY,OVERALL PRODUCT CATEGORY,SKU - 2
DDM6830301005IL,Quick Ship 12 Drawer Modular Cabinet with 240 Compartments Standard Wide Eye-Level Height,Lyon,"$2,189.30 ","$4,378.60 ","$2,189.30 ",50.00%,BLANK,BLANK,DDM6830301005IL
DDM6830301009IL,Quick Ship 10 Drawer Modular Cabinet with 168 Compartments Standard Wide Eye-Level Height,Lyon,"$1,956.71 ","$3,913.42 ","$1,956.71 ",50.00%,BLANK,BLANK,DDM6830301009IL
DDM6830301011IL,Quick Ship 9 Drawer Modular Cabinet with 144 Compartments Standard Wide Eye-Level Height,Lyon,"$1,826.96 ","$3,653.92 ","$1,826.96 ",50.00%,BLANK,BLANK,DDM6830301011IL
DDM6830301014IL,Quick Ship 8 Drawer Modular Cabinet with 104 Compartments Standard Wide Eye-Level Height,Lyon,"$1,708.86 ","$3,417.72 ","$1,708.86 ",50.00%,BLANK,BLANK,DDM6830301014IL
DET2-2448-6PY,2-Sided Shelf Truck (2 Shelves),Little Giant,$526.95 ,$752.79 ,$225.84 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-2448-6PY
DET2-2460-6PY,"2-Sided Shelf Truck (2 Shelves) - 24""W x 60""L",Little Giant,$560.89 ,$801.27 ,$240.38 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-2460-6PY
DET2-3048-6PY,"2-Sided Shelf Truck (2 Shelves) - 30""W x 48""L",Little Giant,$564.95 ,$807.07 ,$242.12 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-3048-6PY
DET2-3060-6PY,"2-Sided Shelf Truck (2 Shelves) - 30""W x 60""L",Little Giant,$627.09 ,$895.84 ,$268.75 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-3060-6PY
DET2-A-2448-6PY,2-Sided Adjustable Shelf Truck (2 Shelves),Little Giant,$671.96 ,$959.94 ,$287.98 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-A-2448-6PY
DET2-A-2460-6PY,"2-Sided Adjustable Shelf Truck (2 Shelves), 24""W x 60""L",Little Giant,$707.45 ,"$1,010.64 ",$303.19 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-A-2460-6PY
DET2-A-3048-6PY,"2-Sided Adjustable Shelf Truck (2 Shelves) - 30""W x 48""L",Little Giant,$711.50 ,"$1,016.43 ",$304.93 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-A-3048-6PY
DET2-A-3060-6PY,"2-Sided Adjustable Shelf Truck (2 Shelves) - 30""W x 60""L",Little Giant,$761.95 ,"$1,088.50 ",$326.55 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET2-A-3060-6PY
DET3-2448-6PY,2-Sided Shelf Truck (3 Shelves),Little Giant,$608.38 ,$869.11 ,$260.73 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-2448-6PY
DET3-2460-6PY,"2-Sided Shelf Truck (3 Shelves) - 24""W x 60""L",Little Giant,$657.68 ,$939.54 ,$281.86 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-2460-6PY
DET3-3048-6PY,"2-Sided Shelf Truck (3 Shelves) - 30""W x 48""L",Little Giant,$656.05 ,$937.21 ,$281.16 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-3048-6PY
DET3-3060-6PY,"2-Sided Shelf Truck (3 Shelves) - 30""W x 60""L",Little Giant,$741.79 ,"$1,059.70 ",$317.91 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-3060-6PY
DET3-A-2448-6PY,2-Sided Adjustable Shelf Truck (3 Shelves),Little Giant,$750.87 ,"$1,072.67 ",$321.80 ,30.00%,Carts,"Carts, Hand Trucks & Dollies",DET3-A-2448-6PY
